Frame,Head_X,Head_Y,Head_Z,Head_RotX,Head_RotY,Head_RotZ,LeftShoulder_X,LeftShoulder_Y,LeftShoulder_Z,LeftShoulder_RotX,LeftShoulder_RotY,LeftShoulder_RotZ,RightShoulder_X,RightShoulder_Y,RightShoulder_Z,RightShoulder_RotX,RightShoulder_RotY,RightShoulder_RotZ,LeftHand_X,LeftHand_Y,LeftHand_Z,LeftHand_RotX,LeftHand_RotY,LeftHand_RotZ,RightHand_X,RightHand_Y,RightHand_Z,RightHand_RotX,RightHand_RotY,RightHand_RotZ,LeftElbow_X,LeftElbow_Y,LeftElbow_Z,LeftElbow_RotX,LeftElbow_RotY,LeftElbow_RotZ,RightElbow_X,RightElbow_Y,RightElbow_Z,RightElbow_RotX,RightElbow_RotY,RightElbow_RotZ,LeftFoot_X,LeftFoot_Y,LeftFoot_Z,LeftFoot_RotX,LeftFoot_RotY,LeftFoot_RotZ,RightFoot_X,RightFoot_Y,RightFoot_Z,RightFoot_RotX,RightFoot_RotY,RightFoot_RotZ,LeftKnee_X,LeftKnee_Y,LeftKnee_Z,LeftKnee_RotX,LeftKnee_RotY,LeftKnee_RotZ,RightKnee_X,RightKnee_Y,RightKnee_Z,RightKnee_RotX,RightKnee_RotY,RightKnee_RotZ,LeftHip_X,LeftHip_Y,LeftHip_Z,LeftHip_RotX,LeftHip_RotY,LeftHip_RotZ,RightHip_X,RightHip_Y,RightHip_Z,RightHip_RotX,RightHip_RotY,RightHip_RotZ
11,0.2331482,1.321806,-0.1392932,353.688,328.8591,338.3071,0.1510092,1.286922,-0.1865579,58.04021,340.8284,66.33901,0.2642931,1.232685,-0.106058,44.47038,297.4689,258.8853,0.0009661838,1.187443,0.1622398,11.27898,162.5687,114.6863,-0.01278041,1.341062,0.2308457,69.71366,130.8194,227.419,-0.1444281,1.222619,-0.01805627,38.44845,135.8092,101.0535,0.1757817,1.212471,0.178127,40.83315,230.2011,316.5142,-0.2492148,0.1616923,0.07243694,315.0326,336.6493,189.2314,0.1109729,0.1432317,0.01414477,342.6296,330.7838,214.5618,-0.3077551,0.523072,0.1786702,18.17045,343.2227,183.8182,-0.1046371,0.4005057,0.1952991,43.38079,340.342,201.8727,-0.2018681,0.8713005,-0.0202243,327.2124,337.4048,177.0507,-0.04726452,0.7971074,0.08911639,343.1036,328.1411,181.0113
12,0.2293522,1.322882,-0.1380616,353.6251,328.5738,338.8031,0.1475497,1.2874,-0.1852747,58.25992,340.8149,66.33307,0.2611852,1.233852,-0.1048093,45.11098,297.5679,257.9046,-0.005967245,1.194139,0.160977,6.848124,156.1535,110.3342,-0.01104213,1.340719,0.2286958,67.11101,139.7259,237.9013,-0.1508732,1.21942,-0.02135976,34.24891,132.713,97.50147,0.1757773,1.208373,0.1791641,38.42566,227.7534,316.1531,-0.2437361,0.1590493,0.07277261,314.7988,335.6577,189.943,0.1158243,0.1432206,0.01466615,342.108,330.4529,214.3498,-0.306684,0.519859,0.1784216,18.32016,342.9406,184.391,-0.1025386,0.3985696,0.195246,43.64577,340.3257,202.313,-0.2022737,0.8687449,-0.0201011,327.3466,336.8676,177.5093,-0.04718852,0.7954931,0.0891922,343.2773,327.9049,181.3073
13,0.225874,1.323678,-0.137671,353.5843,328.5162,339.078,0.1441186,1.287783,-0.1846152,58.45771,340.9037,66.22676,0.2583055,1.234727,-0.1046051,45.63859,297.8215,257.0594,-0.01061285,1.199162,0.1598675,3.68119,152.1873,107.8299,-0.008790985,1.339431,0.228522,65.41325,144.9565,244.7683,-0.1557154,1.216936,-0.02319788,31.38694,131.0619,95.09879,0.176574,1.204868,0.1794993,36.69805,226.3522,315.7629,-0.2405846,0.1571321,0.07522021,314.3816,335.3258,190.3418,0.119905,0.1432019,0.01413815,341.4907,330.0262,214.1853,-0.3054789,0.5178309,0.1800674,18.28982,343.0375,184.7374,-0.1002678,0.3968057,0.1949793,43.9342,340.3531,202.5947,-0.2027207,0.8666682,-0.01940084,327.3148,336.7872,177.8141,-0.04688356,0.7940903,0.0892706,343.4691,327.8861,181.5176
14,0.2224687,1.324357,-0.137959,353.5482,328.5885,339.3976,0.1406929,1.288104,-0.1844315,58.64165,341.0605,66.06658,0.2555498,1.235432,-0.1051301,46.11013,298.1985,256.3149,-0.01410777,1.202982,0.1590997,1.736215,149.9285,105.8501,-0.006312855,1.337266,0.229789,63.55521,149.2637,248.4403,-0.1595762,1.214899,-0.02415011,29.49447,130.0943,93.35019,0.1779787,1.201754,0.1793532,35.54691,225.7542,315.317,-0.2386543,0.1557788,0.07825769,313.9536,335.356,190.6292,0.1235541,0.1431708,0.01285092,340.8694,329.5389,214.0753,-0.3041469,0.5164838,0.1827105,18.23181,343.3898,184.9514,-0.09786946,0.3951376,0.1944518,44.23581,340.4084,202.7835,-0.2031884,0.864863,-0.01846955,327.1858,336.9904,178.0259,-0.04643862,0.7928101,0.08923437,343.6741,327.9961,181.6793
15,0.2152445,1.325473,-0.1403084,353.4798,329.0602,339.9662,0.1331074,1.288595,-0.1853478,59.02359,341.6009,65.59862,0.2497574,1.236579,-0.1082615,47.08558,299.4207,254.897,-0.0197852,1.207878,0.1592363,0.5539319,148.0226,102.0174,0.001183301,1.332678,0.2318205,60.22828,156.764,253.1116,-0.1656324,1.211261,-0.02406878,27.47831,128.938,90.93285,0.1832664,1.195584,0.1777712,33.9404,225.5956,314.8667,-0.2370225,0.1542495,0.08563187,313.0572,335.8438,190.9182,0.1296341,0.142071,0.01162694,339.0133,328.7562,213.6407,-0.3023089,0.5149971,0.1900667,18.14569,344.2603,185.194,-0.09251972,0.3922158,0.1948476,44.57304,340.6633,202.9861,-0.2039935,0.8612398,-0.01605066,326.6362,337.7743,178.1976,-0.04480376,0.7900854,0.08862931,343.8091,328.6005,182.0199
16,0.2112325,1.325828,-0.1421055,353.4406,329.4654,340.2374,0.1287688,1.288659,-0.1861495,59.22269,342.007,65.29797,0.2465553,1.23694,-0.1106075,47.6052,300.291,254.209,-0.01918716,1.21036,0.1586472,0.02983597,147.954,99.76502,0.009459719,1.335053,0.2274933,60.39654,160.7028,258.0748,-0.1677765,1.209554,-0.02247196,26.53463,129.2668,89.77963,0.1879217,1.191909,0.1771762,32.96642,225.7919,316.749,-0.2373391,0.153931,0.09053387,312.6,336.0483,191.0848,0.1318656,0.1406751,0.01284198,337.7822,328.4352,213.398,-0.3021277,0.5147464,0.195045,18.0986,344.6674,185.2451,-0.08962932,0.39099,0.196627,44.52406,340.8823,203.0078,-0.204374,0.8592576,-0.01421647,326.2059,338.2867,178.1488,-0.04363864,0.7885091,0.08835559,343.6625,329.1113,182.2279
17,0.206976,1.326407,-0.1435808,353.4756,329.9562,340.4882,0.1241407,1.288996,-0.1865389,59.50216,342.4742,64.95813,0.2431737,1.237484,-0.1128311,48.19024,301.2312,253.4702,-0.01749437,1.212396,0.156889,359.3322,148.9758,97.64969,0.01876166,1.335553,0.2226017,60.67913,163.4478,263.2709,-0.1702484,1.207564,-0.02066792,25.52483,130.1413,88.69028,0.1944557,1.187296,0.1776335,32.48922,225.7274,318.6206,-0.2380514,0.1537918,0.09505247,312.2183,336.3322,191.1088,0.1339765,0.1390557,0.01420595,336.4081,328.5203,212.7889,-0.3022747,0.5145426,0.2001338,18.12813,345.0254,185.2516,-0.08647054,0.3897661,0.1987106,44.43702,341.1511,202.9963,-0.2046654,0.8572612,-0.01211726,325.7703,338.8527,178.0017,-0.04223523,0.7867986,0.08795117,343.4535,329.7325,182.4362
18,0.2026056,1.327439,-0.1446634,353.6295,330.4953,340.7476,0.1194307,1.28984,-0.1865183,59.90162,342.9719,64.59407,0.2397543,1.238411,-0.1148767,48.85712,302.1468,252.6519,-0.01901064,1.211125,0.1566846,358.4969,148.941,96.83455,0.02878145,1.332634,0.222919,60.54442,165.7874,266.9391,-0.1733777,1.20522,-0.01943909,24.54163,130.5739,88.41221,0.2025223,1.181892,0.1786318,32.13379,226.1768,319.4591,-0.2388445,0.1537222,0.09791511,311.987,336.6763,190.9899,0.1362691,0.1375139,0.01452094,335.1624,328.8931,211.9632,-0.3025742,0.5141775,0.2043028,18.28003,345.3125,185.2188,-0.0829965,0.3884626,0.2001061,44.39268,341.4556,202.9703,-0.2047804,0.8553548,-0.01033324,325.4061,339.4406,177.763,-0.04059571,0.7850093,0.0869145,343.2468,330.425,182.6256
19,0.1993248,1.328453,-0.1448231,353.8168,330.9376,340.8092,0.1158277,1.290779,-0.1858922,60.27284,343.3709,64.31374,0.2371395,1.239346,-0.1159406,49.40783,302.8179,251.9918,-0.01904701,1.210118,0.1556733,357.8994,149.1757,96.19568,0.03508221,1.325935,0.2286957,59.10288,166.4624,267.9674,-0.1758973,1.20337,-0.01821183,23.78226,131.3239,88.19616,0.2094714,1.177371,0.1798325,31.93721,226.406,318.3618,-0.239485,0.1536982,0.09942646,311.9128,336.9682,190.8197,0.1381049,0.1364284,0.01449437,334.4024,329.2784,211.3028,-0.3028941,0.5137932,0.2072164,18.46501,345.4857,185.1732,-0.08020747,0.3874556,0.2010944,44.38433,341.7084,202.9473,-0.2047871,0.8539871,-0.00883307,325.181,339.8935,177.5325,-0.03925904,0.7836382,0.08610762,343.0938,330.9854,182.7601
20,0.1964893,1.329438,-0.1447491,354.0224,331.3346,340.8627,0.1127205,1.291722,-0.1851455,60.63562,343.7336,64.075,0.234886,1.240246,-0.1167276,49.91132,303.3804,251.3989,-0.01986084,1.210202,0.1557113,357.3867,149.0145,95.22746,0.04064602,1.319487,0.2329477,57.83781,166.642,268.7211,-0.1779754,1.201745,-0.01694978,23.04013,131.6016,87.75179,0.2159802,1.17316,0.180823,31.90932,226.4316,317.3813,-0.2400326,0.1536308,0.1001227,311.9199,337.2368,190.6257,0.1397807,0.1355062,0.01412657,333.9303,329.6228,210.7787,-0.3032041,0.5133283,0.2093698,18.66719,345.6063,185.122,-0.07768316,0.386532,0.2017166,44.39268,341.9418,202.9287,-0.2047302,0.8528077,-0.007634372,325.0231,340.287,177.3045,-0.03804183,0.7824039,0.08521239,342.9647,331.4892,182.8727
