Frame,Head_X,Head_Y,Head_Z,Head_RotX,Head_RotY,Head_RotZ,LeftShoulder_X,LeftShoulder_Y,LeftShoulder_Z,LeftShoulder_RotX,LeftShoulder_RotY,LeftShoulder_RotZ,RightShoulder_X,RightShoulder_Y,RightShoulder_Z,RightShoulder_RotX,RightShoulder_RotY,RightShoulder_RotZ,LeftHand_X,LeftHand_Y,LeftHand_Z,LeftHand_RotX,LeftHand_RotY,LeftHand_RotZ,RightHand_X,RightHand_Y,RightHand_Z,RightHand_RotX,RightHand_RotY,RightHand_RotZ,LeftElbow_X,LeftElbow_Y,LeftElbow_Z,LeftElbow_RotX,LeftElbow_RotY,LeftElbow_RotZ,RightElbow_X,RightElbow_Y,RightElbow_Z,RightElbow_RotX,RightElbow_RotY,RightElbow_RotZ,LeftFoot_X,LeftFoot_Y,LeftFoot_Z,LeftFoot_RotX,LeftFoot_RotY,LeftFoot_RotZ,RightFoot_X,RightFoot_Y,RightFoot_Z,RightFoot_RotX,RightFoot_RotY,RightFoot_RotZ,LeftKnee_X,LeftKnee_Y,LeftKnee_Z,LeftKnee_RotX,LeftKnee_RotY,LeftKnee_RotZ,RightKnee_X,RightKnee_Y,RightKnee_Z,RightKnee_RotX,RightKnee_RotY,RightKnee_RotZ,LeftHip_X,LeftHip_Y,LeftHip_Z,LeftHip_RotX,LeftHip_RotY,LeftHip_RotZ,RightHip_X,RightHip_Y,RightHip_Z,RightHip_RotX,RightHip_RotY,RightHip_RotZ
11,-0.1609163,1.288358,-0.002042025,0.2700646,322.9306,359.0824,-0.23263,1.220308,0.02280877,73.67407,49.32411,121.0223,-0.09255305,1.214986,-0.02823308,70.16324,342.645,248.7019,-0.5405561,1.226778,0.3026876,20.0458,72.11766,31.98206,-0.002173007,1.167343,0.2597741,26.68226,246.3331,314.8361,-0.5363377,1.039491,0.162013,16.32312,65.34511,33.5899,0.1088031,1.018613,0.1168259,19.69885,249.2889,312.4078,-0.3803209,0.1741609,0.4881015,303.666,13.63381,168.2678,0.3132698,0.09703913,-0.08699267,290.7851,38.08508,197.5494,-0.2262656,0.505146,0.5977539,19.772,3.549299,157.3217,0.3026197,0.4231139,0.1106342,13.91245,62.82914,208.2739,-0.2011442,0.6934489,0.2290466,304.782,38.91256,142.7349,-0.02506258,0.6764058,0.128712,321.4316,41.14075,218.6061
12,-0.2095932,1.28292,0.0364442,1.012317,322.9065,1.260845,-0.276678,1.214043,0.0684784,73.8406,53.77198,119.172,-0.1427695,1.210258,0.002832726,70.90265,351.9012,250.5995,-0.6042871,1.229588,0.4188079,12.16806,72.84189,39.32314,-0.03414944,1.145127,0.2657978,30.19787,246.8779,310.3253,-0.5663624,1.057099,0.2648832,9.335407,65.855,41.74139,0.08165726,1.011717,0.1119763,23.43793,250.506,308.371,-0.4096523,0.1515745,0.5522454,299.4711,20.44733,157.6222,0.324701,0.1154532,-0.08714926,295.8306,33.07937,201.9424,-0.2590196,0.4937644,0.626567,13.35313,2.657311,157.3129,0.2895177,0.4343743,0.1191176,11.63732,62.02588,211.389,-0.2197777,0.6822411,0.2591832,305.1541,37.48603,142.1124,-0.04717253,0.6740032,0.1519366,321.3597,40.05952,222.2651
13,-0.2619703,1.275206,0.07462446,1.040197,323.2607,3.026856,-0.3242403,1.20555,0.1132988,73.06146,55.80621,115.8865,-0.1966677,1.203291,0.03599884,70.31108,358.8768,250.8442,-0.6622133,1.225282,0.5438129,2.850992,74.39848,50.87798,-0.0630807,1.122696,0.2704269,34.47541,248.4778,306.4458,-0.5914347,1.088689,0.3671315,1.573862,67.03909,54.31901,0.05392602,1.003747,0.1060155,27.92994,252.7712,305.0816,-0.4364051,0.1338656,0.6086316,291.1587,20.68749,153.7482,0.3305399,0.1356607,-0.07558675,302.61,28.69951,206.9489,-0.2955014,0.4845862,0.6581191,8.204899,0.4408463,158.3689,0.2710679,0.4417202,0.144152,10.51901,60.3994,215.3038,-0.2432831,0.6703207,0.2909542,304.0464,34.07164,143.1148,-0.07008022,0.6737897,0.1844133,323.2238,37.05915,225.6618
14,-0.3074726,1.267778,0.108323,359.8281,323.5527,3.839487,-0.3673462,1.19764,0.1507439,71.50087,55.15808,113.1189,-0.2421676,1.196411,0.06960227,68.94075,2.103286,250.7242,-0.6957048,1.21786,0.6387146,356.7919,75.96255,62.80932,-0.08872279,1.109877,0.2776017,37.35825,250.4209,305.6072,-0.6123391,1.126174,0.4398996,357.3004,68.4001,66.93345,0.02723129,0.9958482,0.1090117,30.87592,254.9439,304.5534,-0.4550838,0.1208522,0.650803,284.9442,8.694974,164.7471,0.3262583,0.1549915,-0.05222227,309.7835,27.81899,210.6718,-0.3299724,0.4787674,0.6901947,5.849701,358.7574,160.7085,0.248503,0.4438772,0.1844074,10.79854,59.02917,219.555,-0.2717587,0.6615027,0.3224269,301.8902,28.93642,146.5067,-0.09311557,0.674989,0.2261617,326.8503,32.98238,228.2516
15,-0.3339141,1.264075,0.1333869,357.7321,323.7495,3.336336,-0.3963662,1.193733,0.1736877,69.84763,50.2063,111.5524,-0.2656647,1.193062,0.1017723,67.60298,359.1879,250.6087,-0.7104559,1.209856,0.6638033,357.3796,78.55994,63.72766,-0.1062389,1.115178,0.2964327,39.10372,251.6765,309.7924,-0.6369721,1.121264,0.4597564,358.0706,70.9829,67.76709,0.01471603,0.9918547,0.1382184,32.38152,255.7248,308.5658,-0.4759946,0.1182698,0.6770701,285.0755,349.4975,185.179,0.309712,0.1677299,-0.01138687,318.3072,27.45976,213.5876,-0.3644745,0.4801901,0.7204838,6.245245,358.0563,162.7675,0.2213513,0.4373334,0.2435658,13.64457,56.8481,223.3365,-0.3032134,0.6588306,0.3512023,299.5293,23.17641,150.9102,-0.1152515,0.6771737,0.2757297,331.7769,27.83489,228.9585
16,-0.3354656,1.264699,0.1425397,356.4094,323.9451,2.827812,-0.401252,1.193681,0.177217,69.14952,46.33778,112.8245,-0.2641731,1.194401,0.118361,67.38668,354.0483,250.8878,-0.7123148,1.199038,0.6453543,359.1353,80.19353,60.51927,-0.1091387,1.126531,0.3177664,40.63333,250.8675,313.4105,-0.6481001,1.097653,0.444155,359.2793,72.64497,64.3547,0.02132118,0.9961871,0.1733322,33.73153,254.4722,311.9965,-0.4891406,0.1212244,0.6814845,285.7281,349.4247,186.0698,0.2936777,0.1692641,0.01561326,323.9907,24.7496,215.0645,-0.3827102,0.4836589,0.7326874,7.45174,357.9721,163.5139,0.2045277,0.4283651,0.2809688,17.24218,54.73524,224.6643,-0.3188078,0.6605178,0.362996,298.5483,20.14115,153.1564,-0.1254379,0.6783953,0.3025748,334.6859,24.70209,228.1496
17,-0.3354656,1.264699,0.1425397,356.4094,323.9451,2.827812,-0.401252,1.193681,0.177217,69.14952,46.33778,112.8245,-0.2641731,1.194401,0.118361,67.38668,354.0483,250.8878,-0.7123148,1.199038,0.6453543,359.1353,80.19353,60.51927,-0.1091387,1.126531,0.3177664,40.63333,250.8675,313.4105,-0.6481001,1.097653,0.444155,359.2793,72.64497,64.3547,0.02132118,0.9961871,0.1733322,33.73153,254.4722,311.9965,-0.4891406,0.1212244,0.6814845,285.7281,349.4247,186.0698,0.2936777,0.1692641,0.01561326,323.9907,24.7496,215.0645,-0.3827102,0.4836589,0.7326874,7.45174,357.9721,163.5139,0.2045277,0.4283651,0.2809688,17.24218,54.73524,224.6643,-0.3188078,0.6605178,0.362996,298.5483,20.14115,153.1564,-0.1254379,0.6783953,0.3025748,334.6859,24.70209,228.1496
18,-0.2899746,1.274726,0.1874557,352.2849,324.4141,357.4922,-0.3618278,1.198747,0.177366,68.06122,27.08315,127.1521,-0.2160418,1.208972,0.2073168,69.56377,315.0456,248.8433,-0.6809256,1.181011,0.4913691,5.954418,79.49856,47.83931,-0.1452871,1.194052,0.4877452,55.75744,241.9631,329.4586,-0.635779,1.033709,0.3148832,4.171954,72.26951,50.91763,0.04301518,1.063394,0.4393594,48.33453,243.4538,327.0402,-0.5640276,0.1435088,0.6814055,287.3668,6.287826,171.4431,0.1979732,0.1630343,0.1255421,345.4023,5.591518,214.0713,-0.4727019,0.505776,0.7571015,10.93523,356.5079,165.4497,0.1082897,0.3743878,0.430142,37.25215,43.18364,225.8835,-0.3742044,0.6726565,0.3903819,295.6259,8.587064,158.4799,-0.1712457,0.6791963,0.4016616,345.5924,10.36399,220.6121
19,-0.2899746,1.274726,0.1874557,352.2849,324.4141,357.4922,-0.3618278,1.198747,0.177366,68.06122,27.08315,127.1521,-0.2160418,1.208972,0.2073168,69.56377,315.0456,248.8433,-0.6809256,1.181011,0.4913691,5.954418,79.49856,47.83931,-0.1452871,1.194052,0.4877452,55.75744,241.9631,329.4586,-0.635779,1.033709,0.3148832,4.171954,72.26951,50.91763,0.04301518,1.063394,0.4393594,48.33453,243.4538,327.0402,-0.5640276,0.1435088,0.6814055,287.3668,6.287826,171.4431,0.1979732,0.1630343,0.1255421,345.4023,5.591518,214.0713,-0.4727019,0.505776,0.7571015,10.93523,356.5079,165.4497,0.1082897,0.3743878,0.430142,37.25215,43.18364,225.8835,-0.3742044,0.6726565,0.3903819,295.6259,8.587064,158.4799,-0.1712457,0.6791963,0.4016616,345.5924,10.36399,220.6121
20,-0.2899746,1.274726,0.1874557,352.2849,324.4141,357.4922,-0.3618278,1.198747,0.177366,68.06122,27.08315,127.1521,-0.2160418,1.208972,0.2073168,69.56377,315.0456,248.8433,-0.6809256,1.181011,0.4913691,5.954418,79.49856,47.83931,-0.1452871,1.194052,0.4877452,55.75744,241.9631,329.4586,-0.635779,1.033709,0.3148832,4.171954,72.26951,50.91763,0.04301518,1.063394,0.4393594,48.33453,243.4538,327.0402,-0.5640276,0.1435088,0.6814055,287.3668,6.287826,171.4431,0.1979732,0.1630343,0.1255421,345.4023,5.591518,214.0713,-0.4727019,0.505776,0.7571015,10.93523,356.5079,165.4497,0.1082897,0.3743878,0.430142,37.25215,43.18364,225.8835,-0.3742044,0.6726565,0.3903819,295.6259,8.587064,158.4799,-0.1712457,0.6791963,0.4016616,345.5924,10.36399,220.6121
