Frame,Head_X,Head_Y,Head_Z,Head_RotX,Head_RotY,Head_RotZ,LeftShoulder_X,LeftShoulder_Y,LeftShoulder_Z,LeftShoulder_RotX,LeftShoulder_RotY,LeftShoulder_RotZ,RightShoulder_X,RightShoulder_Y,RightShoulder_Z,RightShoulder_RotX,RightShoulder_RotY,RightShoulder_RotZ,LeftHand_X,LeftHand_Y,LeftHand_Z,LeftHand_RotX,LeftHand_RotY,LeftHand_RotZ,RightHand_X,RightHand_Y,RightHand_Z,RightHand_RotX,RightHand_RotY,RightHand_RotZ,LeftElbow_X,LeftElbow_Y,LeftElbow_Z,LeftElbow_RotX,LeftElbow_RotY,LeftElbow_RotZ,RightElbow_X,RightElbow_Y,RightElbow_Z,RightElbow_RotX,RightElbow_RotY,RightElbow_RotZ,LeftFoot_X,LeftFoot_Y,LeftFoot_Z,LeftFoot_RotX,LeftFoot_RotY,LeftFoot_RotZ,RightFoot_X,RightFoot_Y,RightFoot_Z,RightFoot_RotX,RightFoot_RotY,RightFoot_RotZ,LeftKnee_X,LeftKnee_Y,LeftKnee_Z,LeftKnee_RotX,LeftKnee_RotY,LeftKnee_RotZ,RightKnee_X,RightKnee_Y,RightKnee_Z,RightKnee_RotX,RightKnee_RotY,RightKnee_RotZ,LeftHip_X,LeftHip_Y,LeftHip_Z,LeftHip_RotX,LeftHip_RotY,LeftHip_RotZ,RightHip_X,RightHip_Y,RightHip_Z,RightHip_RotX,RightHip_RotY,RightHip_RotZ
1,-0.2337743,1.287176,-0.02993513,358.6802,35.23732,17.23277,-0.2781163,1.196642,-0.00722328,55.60408,95.16275,165.217,-0.1572769,1.242507,-0.08171744,78.2294,70.06313,313.7959,-0.8222615,1.078535,0.1969703,67.50668,149.2526,183.8754,0.3356645,1.531657,-0.2109395,41.02998,189.5641,97.43055,-0.6384162,1.111693,0.05560225,81.71547,116.6451,169.1978,0.1286468,1.428051,-0.2467174,55.73638,123.8153,38.22359,0.4578132,0.1447775,0.1976155,313.3015,51.48918,174.3956,0.0454448,0.2048788,-0.235257,358.8231,84.32127,184.6577,0.2736137,0.476946,0.2299021,340.8533,48.0171,202.7176,0.3360048,0.4000677,-0.0836967,56.76212,87.1024,200.9973,-0.04869797,0.6883516,0.07674509,308.3476,23.07514,214.7632,0.08625849,0.7306456,-0.06940624,327.6796,60.00249,199.3326
2,-0.1725185,1.287176,-0.1263897,358.6802,3.916696,17.23276,-0.2222048,1.196642,-0.1300376,56.49812,71.67631,171.7191,-0.08025104,1.242507,-0.1308604,76.92883,33.45076,308.6275,-0.7932035,1.078535,-0.2384629,67.5067,117.932,183.8754,0.4080317,1.53166,0.01499454,41.02994,158.2435,97.4305,-0.5626794,1.111843,-0.2636179,80.82574,123.4336,206.9073,0.2496855,1.428149,-0.1231453,43.44613,111.0867,52.5083,0.3000034,0.1447707,0.4275111,313.3015,20.16696,174.3952,0.1727424,0.204877,-0.1566454,358.8224,52.95445,184.5956,0.125999,0.4769979,0.3592807,341.3434,15.47049,203.0909,0.3421585,0.4000611,0.1238824,56.69324,56.10721,201.2726,-0.06986804,0.6883516,0.06095206,307.5545,353.6661,213.2778,0.1213948,0.7306456,0.006253021,329.1502,24.07652,201.7428
3,-0.170647,1.289597,-0.1272319,358.7659,3.426093,16.17426,-0.2215234,1.199635,-0.1314121,57.37513,71.24496,171.0415,-0.07902186,1.243777,-0.1312918,77.11037,33.34392,308.9553,-0.7953069,1.077688,-0.2063821,71.10658,116.6849,178.354,0.4062226,1.525222,0.02378691,40.92974,150.8781,94.91841,-0.5686387,1.112111,-0.2545499,81.45949,110.4359,188.3466,0.251271,1.428785,-0.123048,44.22613,110.4552,54.93446,0.2999111,0.1444988,0.427302,313.3322,20.19998,174.3961,0.1727154,0.2049114,-0.1568441,358.8465,52.94702,184.6094,0.1249205,0.4752722,0.3546725,340.5472,15.52857,203.0351,0.3423014,0.4026897,0.1217576,56.23996,56.21016,201.0855,-0.07316714,0.6889601,0.05948969,307.7352,354.8293,212.6687,0.1177503,0.7302535,0.002853614,328.455,24.41426,202.0043
4,-0.1666149,1.307114,-0.1352839,358.9728,3.082577,13.942,-0.2206891,1.218994,-0.1394923,59.21045,70.94418,169.9222,-0.07671797,1.258074,-0.1399035,78.17235,27.32379,303.0161,-0.7918305,1.083859,-0.1520053,71.98833,98.16673,152.684,0.4079465,1.511155,0.03937931,41.1618,146.976,98.24178,-0.5792187,1.126233,-0.2407984,78.5957,88.41157,156.1698,0.2589007,1.433333,-0.1237145,46.40327,110.7123,61.19831,0.2883489,0.1391373,0.4219177,313.1179,17.8678,175.4601,0.1728896,0.2037176,-0.1572597,358.8354,52.90237,184.6684,0.1138033,0.4634401,0.3235841,336.941,14.16299,202.3867,0.3335815,0.4177053,0.1145527,53.43383,54.57758,199.6653,-0.08263128,0.699435,0.04473995,310.7459,358.5897,209.3407,0.1081979,0.74215,-0.01113407,327.5949,23.79566,202.0322
5,-0.1638298,1.322028,-0.1429653,359.1322,3.081499,12.43268,-0.2202469,1.235406,-0.1468379,60.45664,70.96833,169.2915,-0.0752838,1.270595,-0.1484445,78.96391,20.53513,296.0022,-0.7841966,1.089806,-0.1199458,68.36983,87.1363,137.4773,0.4095306,1.500354,0.04793387,41.36849,148.055,103.225,-0.5850435,1.139351,-0.2329367,75.01932,83.52994,144.8986,0.2649001,1.43637,-0.1248627,48.01387,111.5378,65.9004,0.2786854,0.1410881,0.4201161,312.2356,15.42767,176.972,0.1726055,0.2022704,-0.1567601,358.8338,52.89426,184.6194,0.1034643,0.4564871,0.2971168,333.2679,12.8351,202.1171,0.3243895,0.430137,0.1088203,50.96996,52.98098,198.4415,-0.08988538,0.7088951,0.03077074,313.1495,0.8733698,207.1498,0.1010965,0.753597,-0.02298689,327.198,22.9609,201.8342
6,-0.1617503,1.340573,-0.1511756,359.6415,2.545989,11.03504,-0.2202514,1.255404,-0.1559213,61.72425,71.36242,169.6033,-0.07446276,1.287018,-0.1570989,80.22115,8.901279,284.6137,-0.7726855,1.096917,-0.09487028,64.59362,89.18584,134.438,0.4131847,1.484913,0.05460697,42.45816,148.8462,108.3983,-0.5894202,1.153914,-0.2292157,71.86473,86.22445,141.4114,0.2724267,1.437766,-0.1265972,50.67864,113.3117,71.48028,0.2455098,0.1445761,0.423601,313.0475,6.45864,186.8247,0.1637514,0.2023986,-0.1680002,355.9214,47.92939,183.3789,0.08663314,0.4572023,0.2741658,329.5018,14.34409,197.8589,0.3069253,0.4387319,0.09494915,49.99296,48.43565,195.4714,-0.0975015,0.7214682,0.01283817,313.3525,6.286026,201.8569,0.093803,0.7687398,-0.03746321,328.4557,21.98941,200.9221
7,-0.1594265,1.362689,-0.1606171,0.2669668,1.880567,9.319948,-0.2204149,1.279372,-0.1664778,63.28025,71.97082,170.1288,-0.07374124,1.306604,-0.1671432,81.1009,350.961,266.9595,-0.7537366,1.106304,-0.06564552,59.97017,92.85169,131.7188,0.4147602,1.464764,0.06140701,43.89789,150.2529,114.9746,-0.5934096,1.171137,-0.223682,68.025,90.12347,137.6926,0.2804703,1.438177,-0.1286716,53.88752,116.232,78.89655,0.2127805,0.1547466,0.4225768,314.8378,356.133,200.5379,0.1507895,0.202859,-0.181755,351.9255,41.91955,182.0089,0.06552504,0.4587939,0.2460012,325.0373,17.44626,193.2767,0.2845224,0.4487772,0.0773479,48.78175,42.97946,191.9226,-0.1070512,0.7368386,-0.008837458,314.0737,13.02862,195.4772,0.08460553,0.7870807,-0.05472523,330.0949,20.84736,199.7118
8,-0.1574779,1.383867,-0.1694348,1.219147,0.8840916,7.717752,-0.2202833,1.301995,-0.1777366,64.26238,73.9467,172.6368,-0.07306159,1.326064,-0.1764824,81.44473,326.7018,243.0886,-0.7317864,1.115495,-0.04632591,57.92805,100.018,132.2312,0.415548,1.440825,0.06399082,48.09073,151.4856,121.334,-0.5941841,1.185798,-0.222413,65.55634,95.79173,136.4866,0.2888967,1.434433,-0.1329586,58.49427,120.1911,87.00682,0.186301,0.1596738,0.3995461,313.0827,353.7549,207.8814,0.1402739,0.2021618,-0.2035328,347.2939,34.87928,181.0579,0.04838365,0.4631136,0.2145839,323.3837,24.48429,187.364,0.2620417,0.4559148,0.05390954,47.69086,37.10183,188.7735,-0.115306,0.7521539,-0.03380221,315.0988,18.92229,190.3188,0.07703309,0.8037434,-0.07511122,332.1922,19.53165,198.4542
9,-0.1555281,1.404032,-0.1774932,2.160127,359.8815,6.120619,-0.2200197,1.32364,-0.1882976,65.13586,76.1644,175.4422,-0.07235894,1.344646,-0.1851101,80.37373,304.3605,221.0806,-0.7069959,1.125225,-0.03022736,56.25579,106.6248,132.205,0.4134172,1.416835,0.0643609,52.49091,154.3367,128.4972,-0.5932765,1.199356,-0.2211621,63.30225,100.7738,134.7728,0.2958941,1.429423,-0.1378775,62.83141,126.1801,96.75863,0.1640297,0.1646209,0.3727003,311.7188,352.1963,215.1206,0.1287746,0.2018246,-0.2251836,342.4328,28.19704,180.3427,0.03194696,0.4679671,0.1833777,322.7637,32.03765,181.7341,0.2397007,0.4628606,0.02986574,46.54058,31.43917,185.7764,-0.1232332,0.7672275,-0.05827599,316.4826,24.37903,185.7557,0.06977225,0.8197754,-0.0950162,334.2898,18.2659,197.1474
10,-0.1550321,1.420659,-0.1864579,3.269675,358.7237,5.45948,-0.2200986,1.341156,-0.2002303,64.83556,79.06781,178.6346,-0.07231045,1.3607,-0.1945857,79.67087,289.9898,207.0324,-0.6826964,1.121467,-0.01970016,53.78026,111.2619,131.2337,0.4148829,1.384697,0.06179859,57.08888,159.9196,136.9849,-0.5888004,1.201553,-0.2188316,60.28913,104.3578,133.6092,0.3045285,1.416799,-0.1423139,67.25688,137.6692,110.762,0.1332093,0.1564469,0.3178415,311.4512,351.7455,215.5286,0.1289057,0.1980287,-0.2392804,340.0072,22.87478,180.4094,0.01823429,0.4843436,0.1610857,329.9095,24.04831,186.1921,0.2210255,0.4706348,0.011108,44.19371,26.77743,184.5961,-0.132499,0.7802769,-0.08738397,316.991,13.02516,192.6532,0.06198708,0.8307337,-0.1188724,334.8298,16.21555,196.3088
