Frame,Overall_X,Overall_Y,Overall_Z,Overall_RotX,Overall_RotY,Overall_RotZ,Head_X,Head_Y,Head_Z,Head_RotX,Head_RotY,Head_RotZ,LeftShoulder_X,LeftShoulder_Y,LeftShoulder_Z,LeftShoulder_RotX,LeftShoulder_RotY,LeftShoulder_RotZ,RightShoulder_X,RightShoulder_Y,RightShoulder_Z,RightShoulder_RotX,RightShoulder_RotY,RightShoulder_RotZ,LeftHand_X,LeftHand_Y,LeftHand_Z,LeftHand_RotX,LeftHand_RotY,LeftHand_RotZ,RightHand_X,RightHand_Y,RightHand_Z,RightHand_RotX,RightHand_RotY,RightHand_RotZ,LeftElbow_X,LeftElbow_Y,LeftElbow_Z,LeftElbow_RotX,LeftElbow_RotY,LeftElbow_RotZ,RightElbow_X,RightElbow_Y,RightElbow_Z,RightElbow_RotX,RightElbow_RotY,RightElbow_RotZ,LeftFoot_X,LeftFoot_Y,LeftFoot_Z,LeftFoot_RotX,LeftFoot_RotY,LeftFoot_RotZ,RightFoot_X,RightFoot_Y,RightFoot_Z,RightFoot_RotX,RightFoot_RotY,RightFoot_RotZ,LeftKnee_X,LeftKnee_Y,LeftKnee_Z,LeftKnee_RotX,LeftKnee_RotY,LeftKnee_RotZ,RightKnee_X,RightKnee_Y,RightKnee_Z,RightKnee_RotX,RightKnee_RotY,RightKnee_RotZ,LeftHip_X,LeftHip_Y,LeftHip_Z,LeftHip_RotX,LeftHip_RotY,LeftHip_RotZ,RightHip_X,RightHip_Y,RightHip_Z,RightHip_RotX,RightHip_RotY,RightHip_RotZ
11,-0.001614162,-0.07225522,0.01606996,0,358.6893,0,0.1055334,1.374097,-0.03052528,14.49848,352.816,349.6172,0.01817199,1.327046,-0.04209946,79.85997,65.91409,172.3623,0.1618118,1.28765,-0.05050784,47.96982,276.8037,203.5119,-0.4384351,0.979653,-0.06087723,50.0084,142.5042,161.235,0.1414501,0.9703785,0.3607898,56.2057,236.6779,312.3725,-0.295696,1.140464,-0.153877,46.05646,111.4362,171.5562,0.2817486,1.087082,0.2139323,53.77879,174.6354,212.5273,-0.255316,0.1497619,0.02518737,315.8997,344.1749,174.3594,0.06682517,0.1341385,-0.1652126,308.543,24.78995,192.1667,-0.1385272,0.4405039,0.2422986,35.66998,356.1102,159.8604,0.1054048,0.3630881,0.1374228,50.81824,30.23085,198.1847,-0.1542346,0.7977098,0.03208109,331.4116,26.84113,168.7522,0.02318282,0.7288189,-0.03960803,331.9496,21.64461,181.538
12,-0.002861749,-0.0777226,0.01605839,0,358.8873,0,0.1047763,1.367472,-0.03118185,14.52437,352.7028,349.9046,0.01757475,1.320551,-0.04317444,79.89824,64.68879,172.6205,0.1611853,1.280905,-0.05087854,47.60885,276.6078,202.916,-0.4403827,0.9738985,-0.07057214,50.25374,137.1212,159.6999,0.1148071,0.9719909,0.3577688,53.91367,234.8891,310.6167,-0.2909738,1.13049,-0.1602359,46.95331,105.1501,168.302,0.2623998,1.083576,0.2141176,54.34404,175.1823,215.1942,-0.2578213,0.1486716,0.02288892,315.2871,345.9887,174.3914,0.06760562,0.1344588,-0.1646628,308.4828,24.71048,192.1712,-0.1344156,0.4341717,0.2432715,36.91008,357.3486,159.5045,0.1080231,0.3597607,0.1404603,51.39153,31.09929,198.8112,-0.1553387,0.7928591,0.03605226,331.8027,28.34778,168.8823,0.01944625,0.7222003,-0.04023549,331,22.80768,181.6043
13,-0.004069086,-0.08299488,0.01600857,0,359.1006,0,0.1039411,1.361002,-0.03179803,14.58365,352.5945,350.1858,0.01689656,1.314213,-0.04419879,79.93878,63.49945,172.8289,0.1604732,1.274321,-0.05123267,47.27485,276.4377,202.2854,-0.4418768,0.9680629,-0.07980613,50.37806,131.6926,157.9332,0.09158815,0.9754623,0.3550225,51.97459,233.6889,309.2422,-0.2864729,1.120825,-0.1658127,47.52806,98.93282,164.9497,0.245073,1.08148,0.2133429,55.15718,175.8977,217.6102,-0.2604612,0.1476491,0.02075045,314.704,347.7118,174.4288,0.06837305,0.1348917,-0.1643546,308.4368,24.64168,192.2087,-0.130714,0.4280035,0.2440772,38.10371,358.5005,159.1707,0.1106436,0.3565616,0.1431681,51.94611,32.00852,199.473,-0.1563892,0.7880734,0.03981116,332.1714,29.75799,169.0065,0.01578481,0.7157733,-0.04075583,330.0964,23.90704,181.6842
14,-0.005147831,-0.08685371,0.0159115,0,359.4756,0,0.1029862,1.356695,-0.03199176,14.91452,352.4042,350.3325,0.01603736,1.310031,-0.04490944,79.92928,62.8718,172.8725,0.1596022,1.269976,-0.05122721,47.15372,276.3572,200.7659,-0.4386893,0.9620047,-0.0762525,51.26841,125.9561,154.4419,0.07765652,0.9703811,0.3457046,49.94878,232.7119,306.7738,-0.283455,1.112734,-0.1660671,47.03548,94.5261,160.7379,0.2356146,1.074189,0.2073441,54.34465,177.657,220.5129,-0.2618684,0.1467691,0.01934273,314.3333,348.8382,174.4935,0.06870425,0.1350566,-0.1643685,308.3786,24.57602,192.2395,-0.1304323,0.4241904,0.2453289,38.88514,359.0314,159.2203,0.111242,0.3540628,0.1450203,52.3449,32.48731,199.9738,-0.1572515,0.7843962,0.04144987,332.2241,30.18289,168.975,0.01390869,0.7116179,-0.04082873,329.6408,24.28453,181.6984
15,-0.006267031,-0.09077489,0.01580571,0,359.8914,0,0.1020233,1.352317,-0.03215986,15.28258,352.2008,350.4684,0.01516601,1.305794,-0.04562088,79.92097,62.24319,172.8799,0.158711,1.265558,-0.05119459,47.04077,276.2854,199.0971,-0.4350368,0.9559689,-0.07147437,51.90207,119.6799,150.4036,0.06407981,0.9652019,0.3354675,47.80889,231.8161,304.2065,-0.2803262,1.104481,-0.1657731,46.22664,90.18322,156.3966,0.2264509,1.066635,0.2004954,53.34237,179.5323,223.5069,-0.2633186,0.1458839,0.01796776,313.9607,349.9464,174.5853,0.06891527,0.1352037,-0.1644345,308.3216,24.51977,192.2687,-0.1304656,0.4203752,0.2466868,39.66933,359.5374,159.3075,0.1116663,0.3514669,0.1468485,52.75178,32.96942,200.4918,-0.1581431,0.7806215,0.04299391,332.2562,30.55037,168.9213,0.01206792,0.7074212,-0.04086409,329.2059,24.62524,181.7035
16,-0.007254881,-0.09286517,0.01643752,0,0.3370239,0,0.1006538,1.350613,-0.03127311,15.4745,351.8345,350.3363,0.01377888,1.30408,-0.04534543,79.72161,62.29085,172.9524,0.1573734,1.26389,-0.04987589,46.88605,276.1148,196.7158,-0.4253126,0.9490144,-0.05666637,52.39619,112.9357,144.4426,0.06136559,0.9519734,0.3219788,45.53518,230.8678,300.7127,-0.2774256,1.097343,-0.1616019,44.1941,88.04128,152.0153,0.2268559,1.055012,0.1921075,50.64334,181.4525,226.0802,-0.2636856,0.1461746,0.01765569,313.8786,350.4598,174.5396,0.06871165,0.1360043,-0.1645821,308.36,24.60501,192.2888,-0.1340483,0.4194529,0.249649,40.13177,359.2951,159.6628,0.1105739,0.3498304,0.1485001,53.10567,33.22102,200.9699,-0.1589479,0.7783669,0.04326373,331.9474,29.9468,168.6748,0.01199371,0.7058242,-0.03967459,329.2172,24.29771,181.7166
17,-0.008182703,-0.09470153,0.01709806,0,0.7530882,0,0.09936469,1.349165,-0.03027465,15.64565,351.4579,350.1852,0.01246904,1.302617,-0.04495715,79.52033,62.37601,173.0247,0.1561082,1.262482,-0.04844069,46.73779,275.9365,194.3966,-0.4150913,0.9430596,-0.04209001,52.19161,106.3677,138.6257,0.05913279,0.9397079,0.3086598,43.32835,230.1608,297.5367,-0.274453,1.090777,-0.157346,42.02545,86.4002,148.0826,0.2276356,1.043925,0.1836953,47.94835,183.1439,228.3761,-0.2638951,0.1465255,0.01737063,313.8147,350.853,174.5226,0.06850932,0.1367999,-0.1647169,308.4063,24.67776,192.3123,-0.13785,0.4187876,0.2525171,40.54586,359,160.0393,0.1093562,0.3483022,0.1500734,53.43991,33.43487,201.4292,-0.1597039,0.776318,0.04340329,331.6284,29.27894,168.4273,0.01207392,0.7044854,-0.03841797,329.269,23.92005,181.728
18,-0.008594145,-0.09435137,0.01844338,0,1.043392,0,0.09807725,1.351077,-0.02834142,15.66049,351.0259,349.993,0.01115668,1.304204,-0.04344922,78.91196,63.2992,173.2981,0.1549517,1.264552,-0.0458613,46.41624,275.7868,191.7853,-0.4002705,0.9374581,-0.01836678,51.52322,101.3265,132.7938,0.07087869,0.9216396,0.2942497,41.36707,229.7993,293.4371,-0.2731719,1.086447,-0.1469427,39.31161,87.76878,145.2821,0.239725,1.030685,0.1739558,44.06545,184.8639,229.6195,-0.2628525,0.1464801,0.01737671,313.8306,350.2419,174.5397,0.06859924,0.1366893,-0.1644189,308.442,24.6734,192.2427,-0.1468042,0.4208951,0.2551519,40.33827,357.7501,160.8109,0.1060678,0.3475322,0.1512326,53.53897,32.91468,201.5437,-0.1597704,0.7763507,0.04180369,331.181,27.27676,167.9979,0.01483144,0.7062694,-0.03542994,329.9666,22.62663,181.7141
19,-0.00898517,-0.09382676,0.01989533,0,1.328549,0,0.09683758,1.353209,-0.02600623,15.67241,350.5574,349.7729,0.00988396,1.306003,-0.04156455,78.26257,64.22511,173.5078,0.1538301,1.266849,-0.0428456,46.05993,275.6459,189.0509,-0.3830141,0.9326732,0.006175557,50.1225,96.50723,127.2448,0.08321493,0.9042562,0.2777015,39.29979,229.8528,289.5069,-0.271535,1.082294,-0.1354914,36.39818,89.52567,142.5096,0.2526063,1.017276,0.1619272,40.0425,186.7766,230.9328,-0.2618753,0.1464078,0.01728814,313.8376,349.5347,174.5566,0.06876426,0.1366424,-0.1643731,308.5031,24.64384,192.2055,-0.1567836,0.4231797,0.2574146,40.08934,356.3627,161.6331,0.10256,0.3467146,0.1522055,53.65106,32.37466,201.6895,-0.1597273,0.776482,0.04015207,330.7286,25.0763,167.5506,0.01779903,0.7083184,-0.03196158,330.7681,21.212,181.7117
20,-0.009182331,-0.0904946,0.02148172,0,1.376671,0,0.09503691,1.359228,-0.02263532,16.10686,349.9764,349.7396,0.008272865,1.311387,-0.03888552,77.20538,65.82653,173.9133,0.1525124,1.273307,-0.03880902,45.62852,275.4699,186.0497,-0.3611476,0.9282799,0.03674746,48.38926,93.7157,122.774,0.106286,0.8841736,0.2596621,37.74456,231.333,284.5764,-0.2709629,1.080589,-0.1167205,33.23227,93.65725,141.0094,0.2710018,1.00449,0.1444966,35.33545,189.8466,230.9773,-0.2598962,0.146391,0.01832009,313.8618,347.7076,174.5398,0.0676761,0.136217,-0.165239,308.6873,24.67406,192.0835,-0.1724858,0.4291174,0.258597,39.06187,353.8111,162.787,0.09664571,0.3470432,0.1513168,53.60649,31.0978,201.3221,-0.1584813,0.7789135,0.03615438,330.0002,21.42661,166.8591,0.02369024,0.714143,-0.02693732,332.356,18.89482,181.5619
