Frame,Head_X,Head_Y,Head_Z,Head_RotX,Head_RotY,Head_RotZ,LeftShoulder_X,LeftShoulder_Y,LeftShoulder_Z,LeftShoulder_RotX,LeftShoulder_RotY,LeftShoulder_RotZ,RightShoulder_X,RightShoulder_Y,RightShoulder_Z,RightShoulder_RotX,RightShoulder_RotY,RightShoulder_RotZ,LeftHand_X,LeftHand_Y,LeftHand_Z,LeftHand_RotX,LeftHand_RotY,LeftHand_RotZ,RightHand_X,RightHand_Y,RightHand_Z,RightHand_RotX,RightHand_RotY,RightHand_RotZ,LeftElbow_X,LeftElbow_Y,LeftElbow_Z,LeftElbow_RotX,LeftElbow_RotY,LeftElbow_RotZ,RightElbow_X,RightElbow_Y,RightElbow_Z,RightElbow_RotX,RightElbow_RotY,RightElbow_RotZ,LeftFoot_X,LeftFoot_Y,LeftFoot_Z,LeftFoot_RotX,LeftFoot_RotY,LeftFoot_RotZ,RightFoot_X,RightFoot_Y,RightFoot_Z,RightFoot_RotX,RightFoot_RotY,RightFoot_RotZ,LeftKnee_X,LeftKnee_Y,LeftKnee_Z,LeftKnee_RotX,LeftKnee_RotY,LeftKnee_RotZ,RightKnee_X,RightKnee_Y,RightKnee_Z,RightKnee_RotX,RightKnee_RotY,RightKnee_RotZ,LeftHip_X,LeftHip_Y,LeftHip_Z,LeftHip_RotX,LeftHip_RotY,LeftHip_RotZ,RightHip_X,RightHip_Y,RightHip_Z,RightHip_RotX,RightHip_RotY,RightHip_RotZ
11,-0.1577465,1.435826,-0.2780691,12.85389,349.2471,1.653787,-0.2256635,1.367472,-0.3138183,57.67617,103.6274,202.6681,-0.07749195,1.373062,-0.297414,64.07642,238.2599,152.1395,-0.3927567,1.147395,0.03209448,29.57633,105.4154,74.85489,0.36011,0.9841496,-0.2187605,48.97567,224.2657,184.3805,-0.4691601,1.144817,-0.189354,32.42198,108.6348,89.25303,0.2541652,1.16497,-0.3234038,39.22556,232.9404,184.8142,-0.1817846,0.4455389,-0.604856,35.72163,341.4865,164.8103,0.1367255,0.1483142,-0.3459261,314.3072,353.7939,185.5506,-0.2545119,0.4185845,-0.2316376,84.92959,205.9455,36.86438,0.04108097,0.4545127,-0.1395549,34.64338,356.6727,192.6458,-0.2106533,0.8007201,-0.3868244,337.1269,342.7046,180.5887,-0.01692533,0.8192964,-0.3277767,335.5567,344.4627,194.8582
12,-0.17655,1.432914,-0.2935158,14.07594,348.763,2.97543,-0.24282,1.363645,-0.3300717,56.27576,106.2887,204.462,-0.09466717,1.372709,-0.3151138,64.40762,234.926,146.7081,-0.3897827,1.229497,0.01653165,28.35968,100.5563,39.81901,0.3424942,0.9750018,-0.3050369,44.92404,222.0968,185.5349,-0.4748258,1.151693,-0.1874238,29.01405,101.3734,67.68063,0.2297638,1.167085,-0.3776081,34.8666,233.8159,178.0477,-0.2526076,0.5121396,-0.7111452,38.37894,326.5049,142.6473,0.1361438,0.1364915,-0.3581906,310.5207,353.3632,185.5959,-0.3634192,0.4232138,-0.357421,67.12619,217.9494,53.11882,0.02111229,0.4476831,-0.169983,32.12315,356.218,195.5673,-0.2318546,0.8084002,-0.4371479,342.9396,341.0054,166.269,-0.04419021,0.8109214,-0.3588029,336.5928,340.9858,197.2968
13,-0.2062954,1.448711,-0.3123165,15.81735,348.4371,4.137624,-0.2714386,1.37925,-0.3497114,55.40033,109.6326,206.5526,-0.1232628,1.39071,-0.3367589,64.52386,231.326,141.9992,-0.4474701,1.310253,-0.02291816,32.30538,88.83205,5.062918,0.3148738,1.001569,-0.3630089,43.56516,225.4303,185.6132,-0.5025532,1.170015,-0.2023135,22.79106,88.76878,49.51063,0.2027069,1.19855,-0.4220672,32.54272,234.7903,175.9807,-0.3108984,0.5667244,-0.8017534,31.78743,313.1027,129.5932,0.1351945,0.1389377,-0.3580411,311.2886,352.9137,185.8252,-0.4736912,0.4796032,-0.4682624,56.18576,223.4632,65.75192,-0.007623166,0.4608244,-0.2114576,26.53386,353.9931,199.3992,-0.2630222,0.8362211,-0.4900894,344.4859,338.0497,153.1648,-0.08219178,0.8235123,-0.3978882,338.6014,336.859,200.007
14,-0.2437274,1.477737,-0.3353772,17.92919,347.0552,4.21129,-0.308366,1.40958,-0.3751667,55.47277,111.5475,209.1628,-0.160273,1.420264,-0.3606932,64.43448,226.9081,138.56,-0.4595121,1.362164,-0.055105,13.14293,99.96651,13.35187,0.2780628,1.044347,-0.3847142,40.04072,224.8659,186.0867,-0.5322075,1.211991,-0.2195649,18.13155,97.97477,47.58374,0.1746298,1.2446,-0.4485174,31.0829,231.7128,176.5718,-0.3501204,0.5982494,-0.8643482,20.67061,303.4803,124.1518,0.1259189,0.1468395,-0.3463362,314.7992,352.3782,188.6608,-0.5680194,0.5549678,-0.554583,50.09613,227.0215,79.80521,-0.04187146,0.4813882,-0.2727283,17.33858,348.933,203.2452,-0.3055545,0.8757557,-0.5390416,342.4976,333.9835,144.1893,-0.1305388,0.8508801,-0.4384786,344.1008,332.1928,202.0677
15,-0.2928253,1.514481,-0.3681135,19.78328,343.9179,3.404717,-0.3563887,1.448323,-0.4122926,56.16585,110.9555,211.7609,-0.2089639,1.456318,-0.390911,63.8329,222.517,137.8655,-0.4983008,1.412643,-0.1037294,1.918525,111.408,21.76625,0.2225066,1.091962,-0.3788693,32.79087,219.1,186.9247,-0.5844625,1.262532,-0.2616113,15.62168,105.1279,48.29263,0.139763,1.296031,-0.4587408,29.39005,224.1083,179.0656,-0.3901739,0.6196603,-0.9116473,8.94362,296.3349,123.2555,0.08416659,0.1657823,-0.3416257,319.9173,350.3726,196.0643,-0.648891,0.6292719,-0.6318602,46.34277,228.7554,92.09318,-0.08455026,0.5077476,-0.3510544,8.525291,339.142,204.9693,-0.3565943,0.920341,-0.5885508,340.08,330.6576,138.2811,-0.1839423,0.8867599,-0.4864437,351.8627,325.1072,202.549
16,-0.3469466,1.546699,-0.4063413,20.98624,339.4414,1.783097,-0.4085329,1.482926,-0.4564362,57.00936,108.4508,214.0683,-0.2629671,1.487021,-0.4240481,62.21408,219.159,139.9151,-0.5628247,1.444939,-0.1542837,3.698938,112.4125,21.47839,0.1504743,1.128186,-0.3612363,25.46267,215.2559,187.6548,-0.6470153,1.304332,-0.3216917,16.49985,103.8561,51.24743,0.09710655,1.3361,-0.4550149,27.2529,216.6467,183.2196,-0.4275279,0.6182544,-0.9497348,2.392535,293.6477,126.993,0.01332861,0.1831591,-0.3720865,324.2413,349.4652,199.1852,-0.7058879,0.6761165,-0.6958145,46.63871,231.73,102.7724,-0.1270124,0.5340284,-0.4239481,4.558923,328.9414,202.664,-0.4057598,0.9557287,-0.6343787,338.8513,327.7557,136.288,-0.2324361,0.9194585,-0.5343508,358.317,317.9331,201.5439
17,-0.4065265,1.569776,-0.445954,22.05501,334.1566,0.6523641,-0.4639954,1.508202,-0.5032084,57.03228,105.6137,216.7757,-0.3219747,1.509426,-0.4575601,60.38508,213.4557,139.8605,-0.6313565,1.445917,-0.2063566,4.669324,101.9373,17.96735,0.07151452,1.147565,-0.3455869,19.13041,210.4357,188.7558,-0.7143316,1.330967,-0.3928647,21.74226,101.006,58.1129,0.04093483,1.358316,-0.4431556,25.38951,209.3744,185.1952,-0.4675675,0.5871962,-0.9949734,357.3249,295.0695,136.4096,-0.07674718,0.1910694,-0.4646587,328.1172,348.5023,195.5775,-0.7407109,0.6889914,-0.7493351,50.05669,241.289,114.5784,-0.1902046,0.5544746,-0.4882945,3.708893,336.5044,197.3069,-0.454293,0.9823101,-0.686381,338.7523,324.7165,139.3552,-0.2816407,0.947136,-0.5848122,355.6106,326.5542,198.2013
18,-0.4660011,1.582047,-0.4843191,23.15974,329.0999,359.4824,-0.5184913,1.522532,-0.5483095,57.00985,104.1205,220.6839,-0.3809773,1.521676,-0.4904794,58.27639,207.6946,138.4158,-0.7074465,1.420688,-0.2633749,7.098548,91.31866,27.64564,-0.006653547,1.151446,-0.3391443,14.43465,203.707,188.7018,-0.7808913,1.340094,-0.4707252,26.36201,99.04327,67.4218,-0.02289048,1.363944,-0.4363621,24.34982,202.1389,185.2901,-0.5139239,0.5295157,-1.042689,351.6497,299.048,142.5329,-0.166429,0.1964317,-0.5931711,333.4103,347.6155,187.8617,-0.7605867,0.6822888,-0.7954532,49.77205,256.2068,128.3571,-0.2672375,0.5621436,-0.5533345,11.34503,338.9582,192.0734,-0.4986416,0.9987873,-0.7384647,339.3045,321.2373,144.6572,-0.331324,0.9648679,-0.6279362,355.444,329.7086,192.9589
19,-0.524533,1.584802,-0.5291353,24.35882,324.1729,358.9078,-0.5716323,1.526753,-0.5983602,57.42406,101.3294,222.4587,-0.4394641,1.524134,-0.5292236,56.98358,203.3635,138.7316,-0.8004047,1.37478,-0.3316957,9.050154,86.29118,40.30336,-0.0861778,1.146912,-0.3403014,11.38954,196.5404,187.1351,-0.8426223,1.332287,-0.558181,25.58267,95.49299,78.39879,-0.09111974,1.359404,-0.4387555,24.37061,195.3255,185.2062,-0.575706,0.4546001,-1.085776,341.0534,302.6343,141.7693,-0.2494304,0.204913,-0.7205613,339.8088,344.3974,174.3372,-0.779393,0.668822,-0.8450928,42.46919,268.214,139.6284,-0.3499234,0.5585045,-0.6187342,21.25589,331.3443,185.9218,-0.5406269,1.003317,-0.7890724,340.0621,317.1431,149.079,-0.3838127,0.9691726,-0.6641495,357.34,326.4062,187.395
20,-0.5841376,1.576515,-0.5779988,24.5181,317.1569,358.4372,-0.6229594,1.519547,-0.652951,58.13149,94.28724,222.6621,-0.5005813,1.514585,-0.5677798,56.55846,197.3233,139.4917,-0.906562,1.318848,-0.4303317,14.39475,78.37876,53.91821,-0.173386,1.131619,-0.3373123,10.33606,187.3747,184.8441,-0.8975428,1.314203,-0.6643844,26.33779,87.23073,88.73245,-0.1682726,1.342994,-0.4381346,25.14178,187.7774,184.5813,-0.6606616,0.3696254,-1.1185,325.6848,304.5623,138.9752,-0.3205447,0.210352,-0.8366336,346.5917,336.541,156.031,-0.8024434,0.6523329,-0.9057039,29.54675,275.1333,148.4851,-0.4309043,0.5447253,-0.6899718,28.52343,314.9674,176.1257,-0.5800195,0.9956641,-0.8372537,340.8017,311.9833,151.2241,-0.4367117,0.9591728,-0.6976346,359.7003,320.1888,181.2947
21,-0.6391447,1.558015,-0.6256916,23.81521,310.5783,358.2249,-0.669831,1.500987,-0.7042984,59.51662,86.15559,221.4409,-0.5588032,1.494588,-0.6048648,56.62204,193.1495,142.3613,-1.008253,1.261876,-0.5472031,24.38471,69.1058,67.62692,-0.2600107,1.10615,-0.3343174,10.41266,181.2915,182.3628,-0.9419115,1.288077,-0.770353,30.22122,77.20194,97.43678,-0.2474752,1.315305,-0.4390444,26.48139,182.1058,184.0086,-0.7671867,0.2942659,-1.143462,308.851,306.5822,137.7473,-0.3746241,0.203268,-0.93432,346.7935,324.3362,145.4367,-0.8253096,0.6301746,-0.9728904,13.87579,278.6009,155.1885,-0.4984593,0.5231508,-0.7674837,30.21162,297.1136,166.0333,-0.6165007,0.9765685,-0.8809979,341.2024,305.1271,151.9091,-0.4915784,0.9355556,-0.7258379,3.111913,311.4668,175.0511
22,-0.6934018,1.526862,-0.6714002,22.83065,303.1019,357.4885,-0.7152706,1.470502,-0.753328,60.87987,75.82796,219.0586,-0.618824,1.460872,-0.639924,56.37886,189.1759,146.2153,-1.100963,1.19423,-0.6823043,33.65926,56.107,72.20663,-0.356239,1.063052,-0.3319486,10.46428,176.1115,180.9153,-0.9733752,1.252944,-0.869808,34.22397,65.90893,107.6443,-0.3363742,1.270443,-0.4390221,27.509,176.8533,183.4159,-0.887543,0.2418703,-1.171039,295.2448,314.7321,126.6863,-0.4069274,0.1954053,-1.041337,336.1158,315.3784,151.1253,-0.8495365,0.5958125,-1.034699,357.666,279.7266,158.3233,-0.5497507,0.4962569,-0.855369,32.21534,286.4207,158.7885,-0.6557922,0.9455878,-0.9244512,341.5843,298.862,152.7248,-0.5547137,0.8983071,-0.7544221,8.09838,301.6596,168.4056
